Study,Experiment,Family,Genus,Species,Latitude,Longitude,Stressor,Lifestage,Response_category,Sign_change,Response_variable,Units,Duration_days,Timepoint,Sample_size.t,Sample_size.c,ECOREGION,PROVINCE,REALM,yi,vi,deltapH_z,deltapCO2_z,deltaT_z,Duration_days_z
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.166667,5.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Southern Norway,Northern European Seas,Temperate Northern Atlantic,0.429618176,0.204614294,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.166667,5.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Southern Norway,Northern European Seas,Temperate Northern Atlantic,3.701092619,0.542452164,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,60.166667,5.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Southern Norway,Northern European Seas,Temperate Northern Atlantic,12.98286661,4.413870633,NA,NA,1.427539528,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,1.509963335,0.256999732,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,3.599267761,0.52386821,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.083333,-4.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.633452289,0.210031545,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.083333,-4.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,3.201601437,0.456256294,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.083333,-4.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,12.20762091,3.92565021,NA,NA,1.427539528,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,48.433333,-4.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,1.428721159,0.251031104,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,48.433333,-4.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,3.181438713,0.453038807,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,69.333333,-82.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Hudson Complex,Arctic,Arctic,3.025346031,0.428817965,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,69.333333,-82.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Hudson Complex,Arctic,Arctic,5.532086654,0.965099569,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,69.333333,-82.5,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Hudson Complex,Arctic,Arctic,12.75772636,4.268989545,NA,NA,1.427539528,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,44.066667,-63.916667,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,2.434423858,0.348160488,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Arthrothamnaceae,Saccharina,Saccharina latissima,44.066667,-63.916667,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,6.551607134,1.273088901,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,44.066667,-63.916667,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,2.327228976,0.335399868,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,44.066667,-63.916667,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,8.364434459,1.949094095,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,44.066667,-63.916667,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,Scotian Shelf,Cold Temperate Northwest Atlantic,Temperate Northern Atlantic,24.96299706,15.77878056,NA,NA,1.427539528,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,2.237703313,0.325182903,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,4.455665235,0.696323817,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria digitata,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,18.87867755,9.11011165,NA,NA,1.427539528,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.513368148,0.257257079,NA,NA,-0.594592791,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,1.743235909,0.275971786,NA,NA,0.669239908,-0.341304808
Bolton & Luning 1982,1,Laminariaceae,Laminaria,Laminaria hyperborea,54.466667,7.883333,T,Young sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,6.502064324,1.256921012,NA,NA,1.427539528,-0.341304808
Leal et al. 2017b,1,Laminariaceae,Macrocystis,Macrocystis pyrifera,-45.7975,170.644167,T,Spore/germling,Reproduction & Development,+,Germination rate,%,5,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-0.947357476,0.370728591,NA,NA,-0.847359331,-0.465442166
Leal et al. 2017b,1,Alariaceae,Undaria,Undaria pinnatifida,-45.7975,170.644167,T,Spore/germling,Reproduction & Development,+,Germination rate,%,5,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,0.18722272,0.334793848,NA,NA,-0.847359331,-0.465442166
Leal et al. 2017b,1,Laminariaceae,Macrocystis,Macrocystis pyrifera,-45.7975,170.644167,T,Spore/germling,Growth,+,Area change,%/day,13,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-2.114911253,0.519702067,NA,NA,-0.847359331,0.031107269
Leal et al. 2017b,1,Alariaceae,Undaria,Undaria pinnatifida,-45.7975,170.644167,T,Spore/germling,Growth,+,Area change,%/day,13,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-1.371436796,0.41170162,NA,NA,-0.847359331,0.031107269
Leal et al. 2017b,1,Laminariaceae,Macrocystis,Macrocystis pyrifera,-45.7975,170.644167,T,Gametophyte,Growth,+,Area,um2,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-2.088913524,0.515148321,NA,NA,-0.847359331,0.155244628
Leal et al. 2017b,1,Alariaceae,Undaria,Undaria pinnatifida,-45.7975,170.644167,T,Gametophyte,Growth,+,Area,um2,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,0.555501573,0.346190917,NA,NA,-0.847359331,0.155244628
Leal et al. 2017b,1,Laminariaceae,Macrocystis,Macrocystis pyrifera,-45.7975,170.644167,T,Gametophyte,Growth,+,Area,um2,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-2.079122859,0.513447994,NA,NA,-0.847359331,0.155244628
Leal et al. 2017b,1,Alariaceae,Undaria,Undaria pinnatifida,-45.7975,170.644167,T,Gametophyte,Growth,+,Area,um2,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,-0.247421568,0.33588406,NA,NA,-0.847359331,0.155244628
Leal et al. 2017b,1,Laminariaceae,Macrocystis,Macrocystis pyrifera,-45.7975,170.644167,T,Gametophyte,Reproduction & Development,+,Sex ratio,m/f,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,0.459725784,0.342139492,NA,NA,-0.847359331,0.155244628
Leal et al. 2017b,1,Alariaceae,Undaria,Undaria pinnatifida,-45.7975,170.644167,T,Gametophyte,Reproduction & Development,+,Sex ratio,m/f,15,F,6,6,South New Zealand,Southern New Zealand,Temperate Australasia,0.314617726,0.33745768,NA,NA,-0.847359331,0.155244628
Fortes & Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.193665,7.880469,T,Adult sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,-1.212381945,0.23674675,NA,NA,-0.594592791,-0.341304808
Fortes & Luning 1980,1,Arthrothamnaceae,Saccharina,Saccharina latissima,54.193665,7.880469,T,Adult sporophyte,Growth,+,Elongation rate,%/day,7,F,10,10,North Sea,Northern European Seas,Temperate Northern Atlantic,1.720742992,0.274023911,NA,NA,0.669239908,-0.341304808
Nunes et al. 2016,1,Arthrothamnaceae,Saccharina,Saccharina latissima,50.356183,-4.127883,OA,Adult sporophyte,Net primary productivity,+,Net photosynthesis,umol/l/g/min,28,F,5,13,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.694904791,0.290336762,-0.456467174,-0.076437957,NA,0.96213746
Nunes et al. 2016,1,Arthrothamnaceae,Saccharina,Saccharina latissima,50.356183,-4.127883,OA,Adult sporophyte,Growth,+,Perforation area,cm2,28,F,17,16,Celtic Seas,Northern European Seas,Temperate Northern Atlantic,-0.18917871,0.121865781,-0.456467174,-0.076437957,NA,0.96213746
